Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PANC-1_CTCF_ChIP-seq_1_1	PANC-1_CTCF_ChIP-seq_1_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	17889068.0	0.0	20-50	45.0	89.2603695848521	49.87673019075113	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_CTCF_ChIP-seq_1_2	PANC-1_CTCF_ChIP-seq_1_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	17889068.0	0.0	20-50	45.0	90.63787606791904	49.688159830350024	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_CTCF_ChIP-seq_2_1	PANC-1_CTCF_ChIP-seq_2_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	36181783.0	0.0	20-50	47.0	88.15199478671583	49.85642600863534	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_CTCF_ChIP-seq_2_2	PANC-1_CTCF_ChIP-seq_2_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	36181783.0	0.0	20-50	47.0	90.50393385563747	49.485768349227016	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_H3K27ac_ChIP-seq_1_1	PANC-1_H3K27ac_ChIP-seq_1_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	30313552.0	0.0	20-50	46.0	86.65563734498417	49.83040987740401	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_H3K27ac_ChIP-seq_1_2	PANC-1_H3K27ac_ChIP-seq_1_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	30313552.0	0.0	20-50	46.0	88.19546470242791	49.55145959140651	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_H3K27ac_ChIP-seq_2_1	PANC-1_H3K27ac_ChIP-seq_2_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	27307738.0	0.0	20-50	48.0	80.7519660991627	49.882338771523294	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_H3K27ac_ChIP-seq_2_2	PANC-1_H3K27ac_ChIP-seq_2_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	27307738.0	0.0	20-50	47.0	84.12663808617584	49.76337725226454	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_input_1	PANC-1_input_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	48426773.0	0.0	20-50	44.0	88.32880958921696	49.88182177656149	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
PANC-1_input_2	PANC-1_input_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	48426773.0	0.0	20-50	44.0	89.78928383887262	49.661598161826724	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
